1 2 3
-1.988436 5.837889 7.629814
-1.932204 5.804389 7.561319
-1.806581 5.813363 7.304689
-1.010669 4.78415 8.165208
-2.052743 5.612366 8.260622
-1.685145 4.07049 8.89801
-1.849353 2.549253 9.268001
-1.787139 3.836891 9.573085
0.181555 3.258725 8.038388
0.15015 4.355834 10.437193
0.004786 2.605485 8.835796
-0.253639 2.481955 10.183853
-1.648954 -0.04995 9.71486
-0.707677 1.75364 9.327521
1.341476 -0.116351 10.19492
1.997708 -0.27996 9.666704
1.843072 -0.264706 9.682258
1.913959 -0.30329 9.708878
2.006083 -0.365205 9.739985
2.018645 -0.354736 9.657133
2.061716 -0.352941 9.71127
2.044667 -0.330509 9.67807
2.044368 -0.343669 9.682258
2.059622 -0.339781 9.687043
2.05364 -0.337687 9.667602
2.06022 -0.335892 9.687043
2.069792 -0.341875 9.685847
2.066801 -0.345763 9.671191
2.088037 -0.340678 9.68824
2.093421 -0.348754 9.680164
2.097309 -0.348754 9.661919
2.122434 -0.345763 9.680164
2.120639 -0.355932 9.667302
2.129911 -0.420239 9.676874
2.146661 -0.409173 9.657133
2.135295 -0.389133 9.662816
2.114358 -0.392423 9.698409
2.060519 -0.344566 9.663713
2.050649 -0.344566 9.676874
2.021038 -0.360419 9.688838
1.991726 -0.367597 9.706485
1.936093 -0.377767 9.694221
1.948057 -0.389731 9.705289
1.967199 -0.361316 9.694221
1.983052 -0.361914 9.707382
1.982154 -0.35354 9.699007
1.974378 -0.355633 9.68824
2.004288 -0.327219 9.708579
1.948057 -0.356531 9.694521
1.968097 -0.344866 9.705887
1.967498 -0.352044 9.693026
1.980061 -0.361615 9.715757
1.965704 -0.364905 9.68465
2.001596 -0.326919 9.698111
1.987239 -0.322134 9.65474
2.118845 -0.284148 9.682557
2.206182 -0.269193 9.673882
2.253142 -0.245863 9.660723
2.252842 -0.23659 9.68824
2.256731 -0.252443 9.689436
2.222035 -0.225823 9.567103
2.289333 -0.225224 9.716655
2.114358 -0.217747 9.694521
1.507179 -0.535693 9.874282
1.834697 -0.162712 9.515957
1.44676 -0.273679 9.802796
1.390828 -0.374776 9.795618
1.375574 -0.37687 9.788439
1.392623 -0.343669 9.799506
1.42014 -0.357727 9.779167
1.382154 -0.391825 9.792626
1.431207 -0.372383 9.81506
1.398306 -0.392722 9.793823
1.498505 -0.365803 9.739985
1.534098 -0.394517 9.828818
1.543371 -0.470788 9.77827
1.400699 -0.404088 9.757931
1.441377 -0.417847 9.82164
1.449452 -0.43011 9.699306
1.444368 -0.446261 9.835399
1.428216 -0.438784 9.795019
1.428814 -0.438186 9.812068
1.411466 -0.428614 9.783653
1.406681 -0.408275 9.758529
1.330409 -0.469591 9.876675
1.321436 -0.414557 9.830314
1.313061 -0.399302 9.798309
1.370489 -0.375972 9.779765
1.322633 -0.378365 9.810872
1.332204 -0.401097 9.797711
1.332204 -0.379262 9.795618
1.335793 -0.381954 9.803992
1.334896 -0.38674 9.814461
1.32353 -0.384347 9.789636
1.325923 -0.375673 9.790533
1.332503 -0.381954 9.820743
1.329811 -0.378365 9.798908
1.323829 -0.381954 9.793524
1.332802 -0.382852 9.819546
1.328017 -0.381057 9.794421
1.329213 -0.393619 9.798908
1.339383 -0.387936 9.804591
1.336092 -0.378365 9.800702
1.335793 -0.394816 9.810872
1.331008 -0.380459 9.787542
1.333999 -0.37687 9.812068
1.338186 -0.392423 9.800104
1.337289 -0.38016 9.807881
1.335793 -0.38674 9.789636
1.339383 -0.379861 9.803394
1.341476 -0.39661 9.78515
1.344168 -0.363709 9.809675
1.342673 -0.417847 9.802198
1.345365 -0.380459 9.796216
1.3334 -0.391825 9.800404
1.331905 -0.391526 9.807881
1.340579 -0.397209 9.798908
1.343869 -0.386441 9.801002
1.340579 -0.38674 9.812965
1.3334 -0.391227 9.790234
1.32353 -0.387338 9.798908
1.31007 -0.366999 9.799506
1.338784 -0.401695 9.805787
1.335195 -0.391227 9.812667
1.319343 -0.387936 9.79143
1.332204 -0.387936 9.810872
1.323829 -0.389432 9.809675
1.336691 -0.382553 9.795319
1.327717 -0.384646 9.797412
1.330409 -0.384646 9.8016
1.331905 -0.389731 9.798011
1.336691 -0.389432 9.80489
1.3334 -0.382852 9.806684
1.330709 -0.387936 9.803095
1.334298 -0.386441 9.801899
1.332204 -0.390329 9.805189
1.333101 -0.389133 9.801301
1.332204 -0.387936 9.801301
1.328316 -0.384646 9.799805
1.331307 -0.389432 9.804292
1.318146 -0.387936 9.802497
1.327418 -0.383151 9.799207
1.328914 -0.388535 9.801899
1.326222 -0.387936 9.799805
1.328615 -0.389432 9.8016
1.332204 -0.394218 9.795618
1.328615 -0.385843 9.802497
1.326222 -0.396012 9.795319
1.328615 -0.388235 9.799506
1.329213 -0.387936 9.798908
1.324427 -0.39003 9.801002
1.327717 -0.389731 9.800702
1.331008 -0.387936 9.798609
1.328615 -0.390927 9.801899
1.329811 -0.389731 9.801002
1.325923 -0.390927 9.801899
1.327418 -0.39332 9.796814
1.327119 -0.392124 9.799207
1.325026 -0.390628 9.802796
1.325325 -0.389731 9.802497
1.325624 -0.390927 9.801002
1.323829 -0.390927 9.801002
1.325923 -0.39003 9.799805
1.328017 -0.390329 9.801002
1.328615 -0.390329 9.797412
1.322334 -0.390927 9.798011
1.332204 -0.389731 9.805189
1.331008 -0.38674 9.802796
1.32353 -0.39003 9.798011
1.333999 -0.38674 9.798609
1.318744 -0.397807 9.803394
1.334597 -0.395414 9.801002
1.327418 -0.387936 9.803394
1.327418 -0.39003 9.800702
1.32682 -0.392722 9.798609
1.333101 -0.389432 9.810872
1.336092 -0.375075 9.724133
1.333699 -0.396311 9.807282
1.333699 -0.38674 9.799805
1.330409 -0.392722 9.797412
1.331307 -0.390329 9.792926
1.331905 -0.393918 9.799805
1.334298 -0.394816 9.799207
1.331307 -0.39332 9.795319
1.331307 -0.395115 9.795319
1.334597 -0.392423 9.792626
1.332802 -0.392423 9.793823
1.331307 -0.392423 9.796216
1.3334 -0.394218 9.793823
1.329512 -0.395713 9.793524
1.331905 -0.39332 9.795319
1.335195 -0.391825 9.795319
1.338485 -0.390927 9.793823
1.331905 -0.397209 9.792626
1.331307 -0.39332 9.791131
1.331008 -0.394816 9.792926
1.332204 -0.392722 9.79143
1.330409 -0.39332 9.795019
1.330409 -0.393918 9.792626
1.334597 -0.395115 9.792028
1.333699 -0.395115 9.792926
1.332802 -0.397508 9.792028
1.331307 -0.394816 9.79143
1.327418 -0.394816 9.789038
1.331905 -0.393918 9.790533
1.332802 -0.394816 9.791131
1.331905 -0.392423 9.793823
1.332802 -0.392722 9.792626
1.335195 -0.394816 9.790234
1.334597 -0.391526 9.787243
1.334597 -0.392722 9.789636
1.330409 -0.392722 9.791131
1.334298 -0.391526 9.791131
1.332802 -0.392722 9.792926
1.331905 -0.390927 9.790234
1.329811 -0.395713 9.789038
1.332204 -0.394218 9.793524
1.335195 -0.391825 9.792926
1.332802 -0.392423 9.791131
1.334298 -0.39332 9.789636
1.332802 -0.394218 9.788738
1.329811 -0.393918 9.791131
1.331008 -0.390927 9.789038
1.328914 -0.392722 9.792028
1.326521 -0.39003 9.789038
1.322334 -0.391825 9.787841
1.333699 -0.397209 9.80489
1.331905 -0.392423 9.786345
1.331905 -0.391825 9.790234
1.333699 -0.395713 9.789038
1.332204 -0.397508 9.792028
1.332204 -0.39332 9.79143
1.331008 -0.392423 9.786645
1.331008 -0.395713 9.790533
1.3334 -0.394816 9.78814
1.333699 -0.395115 9.790533
1.329512 -0.393918 9.791131
1.333699 -0.395115 9.787243
1.328914 -0.394218 9.791131
1.330409 -0.399003 9.791131
1.331307 -0.389133 9.79143
1.335793 -0.398106 9.79143
1.331008 -0.395713 9.790234
1.3334 -0.396311 9.791131
1.331307 -0.3999 9.786645
1.331307 -0.392423 9.789636
1.336691 -0.397209 9.792926
1.329512 -0.396311 9.792626
1.331905 -0.39332 9.789636
1.331307 -0.39661 9.787841
1.332204 -0.393918 9.790533
1.336092 -0.396311 9.791131
1.328615 -0.395713 9.791131
1.327119 -0.394218 9.79143
1.331307 -0.395115 9.792028
1.328914 -0.394218 9.786345
1.329811 -0.397508 9.790234
1.333699 -0.394816 9.790234
1.332204 -0.392722 9.788738
1.3334 -0.396311 9.790533
1.332204 -0.394816 9.78814
1.331008 -0.394816 9.79143
1.334597 -0.396311 9.785448
1.333699 -0.392722 9.791131
1.332204 -0.395713 9.790533
1.334298 -0.392722 9.79143
1.331905 -0.392423 9.79143
1.327418 -0.394218 9.792028
1.331307 -0.397209 9.793524
1.328017 -0.394218 9.793823
1.318445 -0.394218 9.791131
1.322633 -0.391526 9.793524
1.323829 -0.389432 9.790234
1.323829 -0.399003 9.792028
1.323829 -0.395115 9.786345
1.323231 -0.387936 9.795917
1.315454 -0.391526 9.788738
1.322633 -0.389432 9.796814
1.322633 -0.392722 9.785448
1.325026 -0.387936 9.793524
1.319044 -0.395713 9.792926
1.321735 -0.388535 9.790533
1.319044 -0.394218 9.789636
1.315454 -0.398106 9.793823
1.321436 -0.385544 9.793823
1.31695 -0.395713 9.789038
1.323829 -0.391526 9.796216
1.321436 -0.392722 9.786645
1.317548 -0.392722 9.797412
1.329811 -0.395713 9.780065
1.32024 -0.389432 9.792626
1.322334 -0.398704 9.787243
1.318445 -0.394816 9.792028
1.338186 -0.402892 9.803394
1.322633 -0.389432 9.784252
1.332204 -0.394816 9.786645
1.329512 -0.399003 9.790234
1.3334 -0.396311 9.788738
1.331307 -0.398106 9.788738
1.333699 -0.392722 9.791131
1.3334 -0.398704 9.78814
1.331008 -0.3999 9.790234
1.332802 -0.397209 9.788738
1.329512 -0.398106 9.790533
1.332204 -0.397508 9.790234
1.334597 -0.397209 9.788738
1.336092 -0.395713 9.790234
1.3334 -0.397209 9.792926
1.334298 -0.398106 9.791131
1.336092 -0.39661 9.791131
1.3334 -0.397209 9.792626
1.331905 -0.394218 9.790533
1.333699 -0.399601 9.788738
1.331905 -0.395713 9.789636
1.334597 -0.397209 9.789038
1.330409 -0.398704 9.78814
1.331905 -0.394218 9.791131
1.334298 -0.398106 9.787243
1.335793 -0.395115 9.792626
1.333699 -0.39661 9.79143
